NU_INSCRICAO;NU_ANO;TP_ST_CONCLUSAO;TP_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q022;Q024;Q025
210051544593;2021;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;553.3;568.5;597.9;577.9;1.0;580.0;H;E;F;B;4.0;G;D;B;B
210053384961;2021;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;B;A;A;2.0;C;C;B;B
210053845099;2021;3;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;E;C;C;4.0;D;C;A;B
210054167876;2021;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;472.3;439.9;433.5;440.5;1.0;580.0;E;E;D;D;3.0;C;C;A;B
210051402975;2021;1;1;;;;;3111200;Campo Belo;1;1;1;1;640.3;615.7;641.5;820.3;1.0;980.0;D;E;D;D;4.0;F;E;B;B
210051590758;2021;3;1;;;;;3111200;Campo Belo;1;1;1;1;588.7;565.2;569.6;697.3;1.0;480.0;C;F;D;D;4.0;L;E;B;B
210052733475;2021;1;1;;;;;3111200;Campo Belo;1;1;1;1;439.2;567.4;538.7;648.8;1.0;880.0;G;E;C;B;4.0;B;B;A;A
210051419043;2021;3;1;;;;;3111200;Campo Belo;1;1;1;1;497.8;615.9;570.8;650.4;1.0;860.0;E;F;D;C;4.0;N;E;D;B
210054288903;2021;1;1;;;;;3111200;Campo Belo;0;1;1;0;;497.9;520.9;;1.0;560.0;A;H;A;B;3.0;C;D;B;B
210052271260;2021;2;2;;;;;3111200;Campo Belo;1;1;1;1;521.0;496.2;513.2;483.2;1.0;560.0;G;E;E;B;2.0;B;C;B;B
210051269410;2021;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;682.3;684.5;635.8;859.7;1.0;920.0;E;F;D;D;4.0;O;E;D;B
210054299874;2021;3;1;;;;;3111200;Campo Belo;1;1;1;1;359.7;462.5;391.5;425.4;1.0;620.0;B;C;C;C;4.0;F;E;B;B
210051982576;2021;1;1;;;;;3111200;Campo Belo;1;1;1;1;616.3;599.5;547.1;645.0;1.0;920.0;G;E;D;B;4.0;G;E;B;B
210052507831;2021;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;733.7;737.1;700.1;838.1;1.0;880.0;C;E;B;B;3.0;D;D;B;B
210052379614;2021;3;1;;;;;3111200;Campo Belo;1;1;1;1;504.0;549.8;511.1;440.0;1.0;720.0;E;G;C;D;4.0;H;E;B;B
210051791650;2021;2;2;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;474.4;560.1;460.2;639.9;1.0;860.0;E;G;B;D;4.0;C;E;C;B
210052801492;2021;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;F;G;E;D;5.0;P;E;D;B
210053158408;2021;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;D;D;D;5.0;I;E;D;B
210054239035;2021;2;2;;;;;3111200;Campo Belo;1;1;1;1;592.5;649.2;589.8;659.2;1.0;680.0;H;C;C;B;2.0;D;C;B;B
210051094828;2021;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;556.8;574.3;536.6;585.3;1.0;840.0;D;D;A;D;2.0;D;C;B;B
210053790276;2021;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;E;A;C;4.0;D;D;B;B
210053372132;2021;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;578.5;587.5;591.6;713.0;1.0;840.0;C;G;B;D;4.0;H;D;B;B
210053164381;2021;1;1;;;;;3111200;Campo Belo;1;1;1;1;573.6;670.6;646.1;626.6;1.0;640.0;D;D;C;B;6.0;G;E;D;B
210052169024;2021;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;490.9;518.1;541.2;583.7;1.0;860.0;E;G;D;D;4.0;G;D;C;B
210052914680;2021;1;1;;;;;3111200;Campo Belo;1;1;1;1;471.5;453.6;496.8;601.5;1.0;860.0;E;E;C;B;3.0;C;C;A;B
210052196873;2021;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;E;B;C;4.0;B;D;A;B
210053853015;2021;3;1;;;;;3111200;Campo Belo;0;1;1;0;;430.9;492.8;;1.0;560.0;C;F;C;B;4.0;L;E;B;B
210053373270;2021;1;1;;;;;3111200;Campo Belo;1;1;1;1;637.3;667.9;654.0;728.8;1.0;900.0;F;G;D;D;5.0;D;C;B;B
210053077636;2021;1;1;;;;;3111200;Campo Belo;1;1;1;1;532.0;529.5;530.7;599.3;1.0;640.0;E;G;C;D;3.0;G;D;B;B
210052287535;2021;1;1;;;;;3111200;Campo Belo;1;1;1;1;624.7;642.2;593.4;678.0;1.0;920.0;B;E;C;F;3.0;B;D;A;B
210053097827;2021;2;2;;;;;3111200;Campo Belo;1;1;1;1;494.3;610.0;452.6;615.5;1.0;820.0;E;E;C;B;3.0;F;D;B;B
210053092574;2021;1;1;;;;;3111200;Campo Belo;1;1;1;1;511.2;396.8;546.2;610.9;1.0;720.0;B;B;A;A;3.0;C;D;B;B
210053853265;2021;3;1;;;;;3111200;Campo Belo;1;1;1;1;631.1;687.5;611.2;714.5;1.0;720.0;F;E;E;B;6.0;G;D;B;B
210052415126;2021;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;457.3;551.9;575.2;610.7;1.0;840.0;E;F;D;B;2.0;J;C;C;B
