NU_INSCRICAO;NU_ANO;TP_ST_CONCLUSAO;TP_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q022;Q024;Q025
210055229860;2022;2;2;;;;;3111200;Campo Belo;1;1;1;1;486.3;509.3;493.1;678.2;1.0;840.0;D;E;A;B;5;D;E;A;B
210055653178;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;504.0;481.0;544.6;505.1;1.0;820.0;D;E;C;D;4;D;E;A;B
210055685609;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;449.0;502.9;517.4;585.1;1.0;660.0;C;C;B;F;2;F;C;B;B
210056921231;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;422.1;512.5;468.5;462.6;1.0;840.0;C;E;C;C;3;C;D;B;B
210056635477;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;426.9;484.0;412.9;559.3;1.0;680.0;B;E;C;B;7;B;C;A;B
210055430568;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;582.8;511.1;426.2;366.0;1.0;840.0;C;C;B;B;5;C;E;A;B
210057537234;2022;2;2;;;;;3111200;Campo Belo;1;1;1;1;439.2;542.4;489.4;558.4;1.0;660.0;E;F;C;D;5;E;E;A;B
210055710369;2022;2;2;;;;;3111200;Campo Belo;1;1;1;1;453.4;449.6;465.6;429.2;1.0;540.0;B;E;A;C;3;B;C;B;B
210054967693;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;432.6;563.6;541.1;549.0;1.0;660.0;C;A;A;B;3;D;D;B;B
210055706898;2022;2;2;;;;;3111200;Campo Belo;1;1;1;1;648.7;660.3;627.7;698.0;1.0;940.0;D;E;B;B;2;C;C;C;B
210056659321;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;437.1;439.7;442.2;377.0;1.0;420.0;B;B;A;B;2;A;C;A;B
210057095643;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;456.4;527.2;564.2;632.8;1.0;660.0;B;E;C;B;4;D;D;B;B
210055522847;2022;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;G;B;D;4;H;E;C;B
210054943834;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;545.8;475.5;508.3;593.1;1.0;660.0;B;B;A;B;3;C;C;B;B
210055542026;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;427.5;492.8;490.5;527.3;1.0;920.0;E;E;B;B;4;C;E;B;B
210055456299;2022;2;2;;;;;3111200;Campo Belo;1;1;1;1;502.9;570.5;501.8;603.4;1.0;800.0;C;C;F;B;5;C;D;A;B
210057367471;2022;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;C;B;A;4;C;B;A;B
210055324295;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;575.7;625.0;584.9;543.5;1.0;880.0;G;E;E;C;3;D;B;B;B
210057322654;2022;2;2;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;B;C;B;6;B;B;A;B
210057809570;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;539.1;613.7;536.9;642.9;1.0;880.0;B;D;C;A;4;D;E;A;B
210055562471;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;425.6;592.7;538.5;492.5;1.0;720.0;E;E;C;C;3;C;D;B;B
210055685278;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;482.4;609.0;563.2;650.6;1.0;920.0;G;E;D;B;4;C;B;A;A
210055619751;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;606.7;608.7;617.5;709.3;1.0;800.0;G;F;D;B;4;E;E;B;B
210055420480;2022;1;1;;;;;3111200;Campo Belo;1;1;1;1;521.7;619.0;639.4;668.3;1.0;880.0;D;E;D;D;4;D;E;C;B
