NU_INSCRICAO;NU_ANO;TP_ST_CONCLUSAO;TP_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q022;Q024;Q025
200004188352;2020;2;2;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;E;E;B;B;3.0;B;B;A;B
200001139929;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;503.0;497.1;526.1;340.3;1.0;480.0;E;E;F;F;2.0;B;C;A;B
200002822445;2020;2;2;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;D;C;C;5.0;D;C;A;B
200002636979;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;631.4;663.1;634.7;775.5;1.0;720.0;B;B;C;B;4.0;D;D;B;B
200002757509;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;586.2;661.2;658.5;695.6;1.0;960.0;C;E;C;B;3.0;E;D;B;B
200001301973;2020;2;2;;;;;3111200;Campo Belo;0;1;1;0;;348.6;383.6;;1.0;440.0;C;D;C;B;4.0;B;D;B;B
200002880801;2020;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;C;C;B;3.0;D;C;A;B
200002752280;2020;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;F;E;D;D;4.0;E;E;B;B
200002841432;2020;2;2;;;;;3111200;Campo Belo;1;1;1;1;416.5;537.5;508.9;530.4;1.0;360.0;B;E;A;B;2.0;A;B;A;B
200005441517;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;646.6;596.2;592.5;683.3;1.0;980.0;B;E;C;F;4.0;B;E;A;B
200003607901;2020;3;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;A;B;A;C;6.0;B;A;A;A
200006223948;2020;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;D;C;C;3.0;B;D;A;B
200004771792;2020;2;2;;;;;3111200;Campo Belo;1;1;1;1;446.0;405.8;482.4;430.8;1.0;800.0;G;G;D;D;5.0;D;E;B;B
200003069826;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;599.7;629.1;622.9;774.4;1.0;940.0;C;C;D;D;3.0;D;D;B;B
200001857648;2020;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;B;F;C;2.0;B;C;B;A
200001193676;2020;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;B;C;B;4.0;C;E;A;B
200004637869;2020;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;437.3;444.3;532.8;522.2;1.0;520.0;E;E;C;C;5.0;C;D;A;B
200003437107;2020;2;2;;;;;3111200;Campo Belo;1;1;1;1;510.1;584.4;561.1;613.0;1.0;820.0;C;E;A;C;4.0;D;D;B;B
200004867249;2020;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;600.2;580.5;593.5;675.4;1.0;900.0;D;D;B;C;3.0;D;B;B;B
200002490789;2020;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;C;C;C;4.0;B;E;B;B
200003390622;2020;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;458.3;521.5;549.8;487.4;1.0;660.0;E;E;B;B;4.0;B;C;B;B
200003832313;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;412.7;372.2;459.0;461.5;1.0;280.0;C;B;B;B;2.0;C;B;B;B
200001729792;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;547.8;528.7;539.3;636.1;1.0;720.0;E;C;B;C;4.0;D;D;B;B
200005930377;2020;1;1;;;;;3111200;Campo Belo;0;1;1;0;;529.9;433.1;;1.0;580.0;E;D;B;B;5.0;E;E;A;B
200006825651;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;391.0;428.2;484.8;383.7;1.0;460.0;C;G;D;E;4.0;E;D;B;B
200002355269;2020;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;687.2;671.5;670.9;765.0;1.0;980.0;G;G;D;E;5.0;M;E;C;B
200003842008;2020;2;2;;;;;3111200;Campo Belo;1;1;1;1;553.8;567.6;544.8;457.0;1.0;680.0;A;B;B;B;3.0;B;D;C;B
200002138066;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;550.5;597.6;545.1;658.9;1.0;360.0;D;C;D;C;2.0;B;B;A;A
200006599531;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;646.4;636.6;532.6;742.0;1.0;660.0;E;E;C;B;4.0;F;D;B;B
200002367174;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;493.9;584.6;532.2;561.8;1.0;640.0;C;C;D;B;3.0;C;E;B;B
200001936515;2020;2;3;;;;;3111200;Campo Belo;1;1;1;1;671.6;672.9;646.0;816.4;1.0;880.0;F;E;D;B;5.0;D;D;B;B
200006514209;2020;2;2;;;;;3111200;Campo Belo;1;1;1;1;436.4;462.1;540.0;376.1;1.0;640.0;D;D;C;C;4.0;E;D;B;B
200006055202;2020;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;571.8;556.2;548.6;560.4;1.0;640.0;E;E;E;E;5.0;Q;E;B;B
200003716403;2020;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;614.1;653.3;648.1;737.5;1.0;900.0;E;E;D;B;4.0;F;E;C;B
200003824644;2020;1;1;;;;;3111200;Campo Belo;0;1;1;0;;554.6;494.0;;1.0;560.0;D;C;B;F;4.0;B;B;A;B
200004867015;2020;2;2;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;587.5;634.2;582.3;715.8;1.0;940.0;E;C;D;C;3.0;E;D;B;B
200004737767;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;564.5;658.5;617.3;601.8;1.0;840.0;B;B;A;A;4.0;B;C;A;B
200004505264;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;619.0;704.5;647.9;711.8;1.0;820.0;B;B;A;A;2.0;D;C;B;B
200003171826;2020;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;H;F;B;D;4.0;C;C;B;B
200004239660;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;624.5;645.8;579.0;610.0;1.0;700.0;B;B;A;A;3.0;B;D;B;B
200006829129;2020;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;E;A;A;4.0;B;E;A;B
200004940845;2020;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;D;C;A;5.0;B;D;A;B
200001706904;2020;2;2;3120201.0;Cristais;MG;2.0;3111200;Campo Belo;1;1;1;1;445.6;484.9;548.0;674.7;1.0;640.0;C;C;B;F;5.0;B;C;B;B
200002797975;2020;3;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;H;B;F;4.0;B;B;A;B
200006715007;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;586.8;590.2;571.8;517.6;1.0;960.0;B;C;C;B;3.0;D;B;B;B
200003851656;2020;3;1;;;;;3111200;Campo Belo;1;1;1;1;558.7;487.8;485.1;480.4;1.0;580.0;B;E;A;B;4.0;D;D;A;B
200004618762;2020;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;600.3;598.7;574.3;703.9;1.0;860.0;E;F;B;D;4.0;O;E;C;B
200006753975;2020;1;1;;;;;3111200;Campo Belo;1;1;1;1;525.9;584.9;604.6;573.6;1.0;760.0;E;C;D;F;2.0;D;C;B;B
200003103775;2020;3;1;;;;;3111200;Campo Belo;1;1;1;1;566.9;670.4;613.8;682.4;1.0;900.0;F;F;D;D;3.0;D;D;A;B
