NU_INSCRICAO;NU_ANO;TP_ST_CONCLUSAO;TP_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q022;Q024;Q025
190002606270;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;B;B;C;3;B;B;B;B
190002592333;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;B;F;F;5;B;C;A;B
190002595922;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;484.0;559.2;538.3;543.0;1.0;660.0;C;F;C;D;4;D;D;B;B
190002599263;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;469.9;465.8;552.3;525.5;1.0;620.0;C;B;C;B;3;C;D;B;B
190002586092;2019;2;2;;;;;3111200;Campo Belo;1;1;1;1;403.1;421.9;509.8;452.2;1.0;440.0;B;C;B;B;4;C;B;B;B
190002633297;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;B;C;C;4;F;E;C;B
190002585726;2019;2;2;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;C;F;B;4;C;C;A;B
190002585733;2019;2;2;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;390.7;451.4;536.0;630.4;1.0;920.0;E;D;B;B;4;C;D;A;B
190002602614;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;537.9;543.6;554.7;472.2;1.0;940.0;D;E;D;D;2;E;C;B;B
190002602813;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;601.5;658.4;589.0;592.5;1.0;620.0;E;E;D;D;4;I;E;B;B
190002589464;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;459.7;493.1;515.9;480.2;1.0;640.0;E;E;B;B;5;D;C;B;A
190002585588;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;472.0;538.1;526.6;494.7;1.0;520.0;G;G;B;D;3;G;D;B;B
190002585865;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;565.3;555.5;567.2;554.8;1.0;500.0;B;D;C;C;5;D;D;B;B
190002599383;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;514.9;550.2;514.2;516.0;1.0;520.0;H;H;B;C;3;F;D;B;B
190002602260;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;450.4;358.7;401.4;438.4;1.0;220.0;C;C;B;B;7;C;D;A;A
190002622838;2019;2;3;3111200.0;Campo Belo;MG;4.0;3111200;Campo Belo;1;1;1;1;543.9;598.8;600.4;634.7;1.0;820.0;F;F;E;D;4;Q;E;D;B
190002612751;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;616.2;652.5;642.1;777.0;1.0;820.0;D;D;F;A;3;C;C;B;B
190002588950;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;454.8;535.5;591.5;673.4;1.0;900.0;D;G;D;D;4;I;E;B;B
190002602201;2019;3;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;C;B;C;5;B;D;B;A
190002592022;2019;2;2;3120201.0;Cristais;MG;2.0;3111200;Campo Belo;1;1;1;1;350.7;495.9;448.0;546.3;1.0;480.0;B;C;A;A;6;G;E;A;B
190002609145;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;492.4;545.2;563.2;500.6;1.0;740.0;D;C;B;C;4;C;D;B;B
190002609190;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;0;0;0;0;;;;;;;B;C;B;B;5;C;C;A;A
190002609269;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;545.3;438.6;541.4;471.8;1.0;400.0;C;C;B;B;5;C;A;A;A
190002588788;2019;3;1;;;;;3111200;Campo Belo;0;1;1;0;;512.3;548.6;;4.0;0.0;C;C;B;B;4;C;D;A;A
190002605838;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;501.1;513.6;518.4;644.0;1.0;520.0;C;C;B;B;4;B;C;A;A
190002626379;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;0;0;0;0;;;;;;;C;B;A;B;4;C;C;A;A
190002605628;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;411.1;447.6;536.5;507.8;1.0;560.0;B;E;F;C;2;B;C;B;B
190002612722;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;G;D;D;1;D;B;B;B
190002606700;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;E;C;B;6;G;D;A;B
190002627191;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;564.6;586.5;609.9;586.8;1.0;720.0;E;C;C;F;2;D;B;C;B
190002620838;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;409.6;419.5;519.7;441.3;3.0;0.0;E;G;A;D;4;E;E;B;B
190002630024;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;508.2;351.2;473.3;630.6;1.0;360.0;E;G;A;D;4;E;E;B;B
190002630143;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;520.3;497.1;541.2;551.0;1.0;640.0;B;E;C;C;4;D;C;A;B
190002638026;2019;2;2;3112000.0;Candeias;MG;2.0;3111200;Campo Belo;1;1;1;1;404.9;410.7;504.0;408.8;1.0;580.0;A;B;A;A;3;C;B;A;B
190002620604;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;432.3;548.3;519.3;589.7;1.0;680.0;F;F;D;B;5;H;C;B;B
190002626726;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;412.6;414.3;463.2;572.7;1.0;560.0;C;D;C;B;3;C;C;B;B
190002603614;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;501.6;651.0;589.6;610.1;1.0;600.0;H;F;F;C;2;C;C;A;B
190002606828;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;416.3;442.8;484.9;544.0;1.0;280.0;D;D;F;B;2;B;C;A;A
190002620513;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;C;B;B;4;E;E;B;B
190002589749;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;D;C;C;3;C;C;B;B
190002624312;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;559.7;503.0;520.1;466.9;1.0;640.0;G;G;F;D;3;E;D;B;B
190002637838;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;584.0;661.8;619.3;710.3;1.0;920.0;E;F;D;B;4;D;D;C;B
190002599862;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;594.4;556.2;604.8;635.3;1.0;840.0;C;E;C;C;5;C;D;A;B
190002599865;2019;2;2;3158805.0;Santana do Jacaré;MG;2.0;3111200;Campo Belo;1;1;1;1;542.8;496.6;516.6;425.0;1.0;620.0;B;E;A;C;4;D;D;A;B
190002616437;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;463.1;473.6;495.4;363.1;1.0;440.0;D;B;D;B;2;C;D;B;B
190002603076;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;420.6;543.0;558.1;557.4;1.0;560.0;B;B;B;F;3;B;D;A;B
190002623227;2019;2;2;3120201.0;Cristais;MG;2.0;3111200;Campo Belo;1;1;1;1;405.9;452.5;481.7;486.6;1.0;480.0;B;E;B;C;4;E;C;B;B
190002613237;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;590.1;542.1;545.6;588.1;1.0;820.0;B;B;B;B;3;E;B;B;B
190002599812;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;395.2;372.1;412.8;511.6;1.0;340.0;H;D;F;B;7;B;B;A;A
190002626555;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;397.3;417.8;505.3;395.8;1.0;540.0;B;B;C;B;4;C;D;A;B
190002633310;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;416.5;434.1;524.9;407.0;1.0;480.0;B;B;A;B;2;B;C;A;B
190002636749;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;603.1;638.4;588.3;693.6;1.0;940.0;C;G;A;D;2;H;C;B;B
190002637764;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;B;C;B;3;C;D;B;B
190002624248;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;518.8;550.5;589.9;709.7;1.0;840.0;E;E;B;B;4;C;D;B;B
190002624268;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;603.5;591.9;567.1;739.9;1.0;920.0;E;E;C;B;4;F;E;B;B
190003167800;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;373.7;622.4;548.7;569.9;1.0;640.0;A;A;A;F;3;B;C;B;B
190003131030;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;499.4;536.1;508.9;439.4;1.0;560.0;B;B;A;A;4;C;B;A;A
190002634587;2019;2;2;3100807.0;Aguanil;MG;2.0;3111200;Campo Belo;1;1;1;1;499.0;464.3;489.7;471.1;1.0;600.0;E;G;C;D;5;C;E;B;B
190002634603;2019;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;588.7;575.7;593.0;783.1;1.0;920.0;H;E;F;D;3;D;D;A;B
190002616807;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;461.0;448.5;486.2;534.3;1.0;700.0;E;E;C;B;4;C;E;A;B
190003134327;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;631.6;665.2;604.5;730.2;1.0;980.0;E;F;F;E;2;G;C;B;B
190003154325;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;566.7;628.5;573.8;591.5;1.0;800.0;H;B;F;A;2;D;B;B;B
190003154359;2019;3;1;;;;;3111200;Campo Belo;1;1;1;1;392.1;495.6;510.9;503.2;1.0;500.0;C;C;A;B;4;B;B;A;A
190003154365;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;684.4;687.7;627.2;810.1;1.0;940.0;F;E;E;D;5;P;D;C;B
190002613830;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;599.2;597.6;630.5;539.5;1.0;620.0;B;C;A;B;3;B;C;B;B
190003140987;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;449.9;578.4;550.1;520.7;1.0;580.0;D;D;C;B;4;I;E;B;A
190003161009;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;548.1;640.1;609.4;588.9;1.0;680.0;C;B;A;B;4;E;D;A;B
190003161064;2019;1;1;;;;;3111200;Campo Belo;2;1;1;2;;481.5;478.6;;1.0;440.0;C;C;A;B;4;B;B;A;A
190003181231;2019;2;2;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;D;C;B;5;C;D;B;B
190003144260;2019;2;2;3111903.0;Cana Verde;MG;2.0;3111200;Campo Belo;1;1;1;1;527.6;588.7;527.7;652.1;1.0;360.0;F;E;A;A;4;F;E;A;B
190003164520;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;B;A;A;3;B;D;A;A
190002634568;2019;2;3;;;;;3111200;Campo Belo;1;1;1;1;572.1;564.8;532.0;674.4;1.0;760.0;F;D;A;B;4;H;E;B;B
190002616950;2019;1;1;;;;;3111200;Campo Belo;0;1;1;0;;381.1;553.4;;1.0;500.0;C;C;B;F;3;C;C;A;B
190002633424;2019;2;3;;;;;3111200;Campo Belo;1;1;1;1;574.8;604.5;593.0;621.0;1.0;900.0;E;G;A;E;4;G;C;B;B
190002610635;2019;4;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;D;C;F;4;D;C;B;B
190002631083;2019;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;C;C;B;2;A;B;B;B
190002616641;2019;1;1;;;;;3111200;Campo Belo;1;1;1;1;432.3;465.8;390.1;398.7;1.0;400.0;D;E;A;A;1;C;B;B;B
