NU_INSCRICAO;NU_ANO;TP_ST_CONCLUSAO;TP_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q022;Q024;Q025
210059987611;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;637.0;627.7;588.2;388.5;1.0;900.0;D;D;C;C;2;C;C;B;B
210061042443;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;514.3;661.0;634.0;727.5;1.0;940.0;D;E;D;D;4;D;E;C;B
210059524772;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;568.7;621.4;611.3;654.0;1.0;920.0;B;D;B;B;3;D;D;B;B
210060397037;2023;2;2;3120201.0;Cristais;MG;2.0;3111200;Campo Belo;1;1;1;1;496.5;544.6;533.8;570.7;1.0;600.0;C;C;C;B;3;C;C;B;B
210058495825;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;506.2;493.4;525.2;580.0;1.0;520.0;H;B;A;B;4;D;E;C;B
210059822687;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;606.9;571.8;507.6;687.6;1.0;840.0;B;E;A;B;4;D;E;B;B
210059654686;2023;2;2;3120201.0;Cristais;MG;2.0;3111200;Campo Belo;1;1;1;1;505.9;483.1;498.8;498.0;1.0;560.0;H;B;F;F;5;B;C;A;B
210061368714;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;585.6;567.2;565.6;652.1;1.0;840.0;D;D;A;A;4;B;E;B;B
210060687878;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;493.3;573.1;476.4;472.0;1.0;940.0;E;D;C;B;5;B;D;B;B
210059925912;2023;1;1;;;;;3111200;Campo Belo;0;1;1;0;;548.5;536.6;;1.0;520.0;D;C;C;B;6;D;E;A;B
210060188108;2023;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;0;0;0;0;;;;;;;B;B;A;B;3;C;C;B;B
210061223942;2023;3;1;;;;;3111200;Campo Belo;1;1;1;1;594.9;688.6;600.3;680.3;1.0;800.0;D;G;C;D;4;J;D;B;B
210059807795;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;556.6;604.1;610.2;667.3;1.0;840.0;G;C;D;F;4;O;A;A;B
210061287048;2023;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;555.1;575.2;543.5;574.7;1.0;800.0;B;D;B;C;4;G;D;B;B
210059695697;2023;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;B;B;B;2;B;C;A;B
210059388311;2023;2;2;;;;;3111200;Campo Belo;1;1;1;1;549.1;606.3;576.6;757.0;1.0;860.0;E;E;D;B;3;D;D;B;B
210059961598;2023;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;400.3;478.5;482.2;412.6;1.0;780.0;C;E;B;D;3;C;C;B;B
210060144476;2023;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;D;C;B;B;1;B;B;A;B
210059363074;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;618.2;612.3;645.3;708.0;1.0;820.0;D;E;F;D;3;B;C;A;B
210058994829;2023;2;2;3111200.0;Campo Belo;MG;2.0;3111200;Campo Belo;1;1;1;1;459.7;412.9;460.1;536.5;1.0;560.0;B;E;C;B;6;A;E;A;B
210059020729;2023;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;E;E;B;B;4;D;C;B;B
210061163762;2023;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;B;E;C;B;1;C;B;B;B
210059829234;2023;1;1;;;;;3111200;Campo Belo;0;0;0;0;;;;;;;C;D;F;F;5;C;D;A;B
210059556196;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;388.8;481.3;535.5;412.3;1.0;960.0;D;D;C;D;4;D;E;A;B
210060157539;2023;2;2;;;;;3111200;Campo Belo;1;1;1;1;564.7;564.8;594.0;548.0;1.0;820.0;D;E;C;B;5;C;C;A;B
210058969021;2023;2;2;;;;;3111200;Campo Belo;1;1;1;1;499.0;605.8;613.2;651.2;1.0;780.0;D;B;B;B;3;C;D;A;B
210060390985;2023;2;2;;;;;3111200;Campo Belo;1;1;1;1;534.9;544.0;487.6;644.9;1.0;680.0;H;E;D;C;5;E;D;A;B
210060561837;2023;1;1;;;;;3111200;Campo Belo;1;1;1;1;617.6;636.0;612.3;750.7;1.0;640.0;C;E;C;B;3;D;D;B;B
